SPIP-Core spip-3.2.2 -> spip-3.2.3  21 janvier 2019
-------------------------------------------------------------
Oups : problème de génération du zip 


SPIP-Core spip-3.2.1 -> spip-3.2.2  18 janvier 2019
-------------------------------------------------------------

r23927 | booz      |  (mer. 28 févr. 2018) | Report de [23926] ; voir aussi https://core.spip.net/issues/3924
r23939 | ben       |  (mer. 14 mars 2018) | 3.2.1 PARTEZ !
r23950 | cedric    |  (ven. 16 mars 2018) | Up ecran securite pour valider_xml encore
r23960 | erational |  (lun. 26 mars 2018) | Bonne année 2018
r23962 | marcimat  |  (mar. 27 mars 2018) | report de r23961 : Suite de r23646 sur le calcul du token de prévisu.Il se trouve que ça ne fonctionnait pas avec les URLs Page ou simples, car le paramètre var_mode était mal nettoyé pour calculer le token (on ajoutait &var_mode au lieu de &var_mode).Ça ne se voyait pas avec les autres types d’URLs.Merci Jack31 du signalement.
r23969 | cedric    |  (mer. 18 avril 2018) | Report de r23968 : cet espace ajoute a tort par r22569 casse l'affichage des tags dans les articles syndiques de l'espace prive
r23972 | Nicod     |  (ven. 04 mai 2018) | Report de r23971 pour SPIP 3.2 : nouveaux habits pour la minipres
r23974 | Nicod     |  (sam. 05 mai 2018) | Report de r23973 : Ajustements pour la phase d'installation
r23988 | ben       |  (mar. 15 mai 2018) | Dites 33 ! prendre en compte un protocole plus long que d'habitude pour les urls maSuperAppli:// ... On passe de 7 à 33 ce qui devrait largement convenir https://core.spip.net/issues/4135
r23992 | b_b       |  (mer. 30 mai 2018) | report de r23991
r23995 | Nicod     |  (mer. 06 juin 2018) | Report de r23994 :  Compacter un peu les marges pour diminuer la hauteur des fenêtres minipres
r23999 | cedric    |  (mar. 12 juin 2018) | intval ici, c'est pas plus mal
r24003 | b_b       |  (jeu. 14 juin 2018) | report de r24002Fix #4137 : réparer le critère par hasard sur les boucles dataqui ne fonctionnait plus suite à r23364 / merci marcimat choubidou pour la solution :)
r24005 | b_b       |  (ven. 15 juin 2018) | report de r24004Fix #4151 : passer l'id_groupe en paramètre lors de la "création rapide" d'un mot depuis une page mot... en passant id_groupe dans le contexte du bandeaupatch temporaire en attendant que #3844 soit réglé
r24007 | marcimat  |  (sam. 23 juin 2018) | Éviter une notice PHP si cette constante _UPGRADE_TIME_OUT a été préalablement déclarée.
r24012 | cedric    |  (ven. 29 juin 2018) | Retablir le support des sockets dans connect.php que le passage a mysqli avait casse (syntaxe differente entre mysql_connect() et mysqli_connect())
r24013 | cedric    |  (ven. 29 juin 2018) | complement de r24012 pour la connexion en mysqli par socket : il faut mettre null dans le port, fournir login et pass et le host peut etre 'localhost'
r24018 | cedric    |  (mar. 03 juil. 2018) | Fix #4157 : les inconsistances de PHP nous avaient enduit en erreur. On croyait bien faire en explicitant tls:// comme protocole pour l'ouverture des sockets, grave erreur cela limitait a SSLv1.0.Il faut revenir a ssl:// pour avoir une negociation sans limite du protocole crypto et donv pouvoir acceder a TLSv1.1 ou TLSv1.2 pour les serveurs qui ne supportent que cela les autres etant non securises
